timestamp	method	status	bytes	sha256	classification	url	content_type
2026-07-22T10:25:00Z	GET	200	6478	647d5835f757a3d737bb89d67e247361cdf9fa3c1aed44c10528ddb78f3079f4	github_repo	https://api.github.com/repos/sib-swiss/sparql-llm	application/json; charset=utf-8
2026-07-22T10:25:01Z	GET	200	3954	5266e6434798c171b5ca99f136f8abd9cb977873e121017d0442f1bb6ff65c87	github_commit	https://api.github.com/repos/sib-swiss/sparql-llm/commits/main	application/json; charset=utf-8
2026-07-22T10:25:02Z	GET	200	2452	669fc061c5a55fa6558fca72f098aa6740234eddee290597d0bc2d964ff9ae39	github_license_api	https://api.github.com/repos/sib-swiss/sparql-llm/license	application/json; charset=utf-8
2026-07-22T10:25:02Z	GET	200	37120	1ebb17a3e133d3d4da1175eea480a9b2c16835db1f07a9e9a53d653d5750545a	github_tree_pin	https://api.github.com/repos/sib-swiss/sparql-llm/git/trees/3748730e3bd2df2595280b918269fdaadb9fc0c3?recursive=1	application/json; charset=utf-8
2026-07-22T10:25:03Z	GET	200	1102	ca796c5b321e7edcbddb47d1ddfe268f72ced3728f5b0d151fb2d533cea8de56	raw_license_pin	https://raw.githubusercontent.com/sib-swiss/sparql-llm/3748730e3bd2df2595280b918269fdaadb9fc0c3/LICENSE.txt	text/plain; charset=utf-8
2026-07-22T10:25:03Z	GET	200	1102	ca796c5b321e7edcbddb47d1ddfe268f72ced3728f5b0d151fb2d533cea8de56	raw_license_head	https://raw.githubusercontent.com/sib-swiss/sparql-llm/3748730e3bd2df2595280b918269fdaadb9fc0c3/LICENSE.txt	text/plain; charset=utf-8
2026-07-22T10:25:04Z	GET	200	6155	9c913b4a83e107dfea63a59a6fa605ef53f6f83a4b229afb0efe29fd018f0a57	github_repo	https://api.github.com/repos/rashad101/SGPT-SPARQL-query-generation	application/json; charset=utf-8
2026-07-22T10:25:05Z	GET	200	5529	04a5ccdf236aacc0000526e7fcc9240a797c1e8762ee992473a2218d2ab0eccf	github_commit	https://api.github.com/repos/rashad101/SGPT-SPARQL-query-generation/commits/main	application/json; charset=utf-8
2026-07-22T10:25:06Z	GET	200	2537	102c0f20ae201a1fb6953219ff0146e81e017e703406d558925d6d582eb5a15e	github_license_api	https://api.github.com/repos/rashad101/SGPT-SPARQL-query-generation/license	application/json; charset=utf-8
2026-07-22T10:25:06Z	GET	200	14689	97a074330fec8aac113ef1fbdf6c29034a71f0ea0208bc7fcc4326ab91cbd082	github_tree_pin	https://api.github.com/repos/rashad101/SGPT-SPARQL-query-generation/git/trees/1f6964d1c3bfee50c7dec2c25546f32b4ab94b2b?recursive=1	application/json; charset=utf-8
