config_id,family,base_or_ft,model_size,epochs,round,generation_script,dtype,device_map,temp,max_tokens_or_length,prompt_type,one_shot,rag_context,cleaning,evidence
vanilla_llama3_8b_r{1,2,3},vanilla,base_instruct,8B,n/a,1-3,generate_sparql_cuda.py,float16,auto,0.7,max_length=512,ORKG_hardcoded_zero_shot,no,no,gpt-4o_step2,CODE_VERIFIED;RESULT_FILE_VERIFIED
vanilla_llama32_3b_r{1,2,3},vanilla,base_instruct,3B,n/a,1-3,generate_sparql_cuda.py,float16,auto,0.7,max_length=512,ORKG_hardcoded_zero_shot,no,no,gpt-4o_step2,CODE_VERIFIED;RESULT_FILE_VERIFIED
oneshot_llama3_8b_r{1,2,3},one_shot,base_instruct,8B,n/a,1-3,generate_sparql_one_shot_cuda.py,float16,auto,0.7,max_length=512,ORKG_one_shot_gold_train,yes_k1_MiniLM,no,gpt-4o_step2,CODE_VERIFIED;RESULT_FILE_VERIFIED
oneshot_llama32_3b_r{1,2,3},one_shot,base_instruct,3B,n/a,1-3,generate_sparql_one_shot_cuda.py,float16,auto,0.7,max_length=512,ORKG_one_shot_gold_train,yes_k1_MiniLM,no,gpt-4o_step2,CODE_VERIFIED;RESULT_FILE_VERIFIED
ft_llama3_8b_lora_sft_{3,5,7,10,15,20}ep_r{1,2,3},ft,lora_sft_merged,8B,3|5|7|10|15|20,1-3,generate_sparql_cuda.py via merge_models,float16,auto,0.7,max_length=512,ORKG_hardcoded_zero_shot_on_ft,no,no,gpt-4o_step2,CODE_VERIFIED;RESULT_FILE_VERIFIED;NOT_FOUND_weights
ft_llama32_3b_lora_sft_{3,5,7,10,15,20}ep_r{1,2,3},ft,lora_sft_merged,3B,3|5|7|10|15|20,1-3,generate_sparql_cuda.py via merge_models,float16,auto,0.7,max_length=512,ORKG_hardcoded_zero_shot_on_ft,no,no,gpt-4o_step2,CODE_VERIFIED;RESULT_FILE_VERIFIED;NOT_FOUND_weights
vanilla_rag_llama3_8b_r{1,2,3},vanilla_rag,base_instruct,8B,n/a,1-3,generate_sparql_rag_cuda.py,float16,auto,n/a_default,max_new_tokens=1024,prompt2_optional_RAG_context,no,yes_strip_think,gpt-4o_step2,CODE_VERIFIED;RESULT_FILE_VERIFIED
vanilla_rag_llama32_3b_r{1,2,3},vanilla_rag,base_instruct,3B,n/a,1-3,generate_sparql_rag_cuda.py,float16,auto,n/a_default,max_new_tokens=1024,prompt2_optional_RAG_context,no,yes_strip_think,gpt-4o_step2,CODE_VERIFIED;RESULT_FILE_VERIFIED
ft_rag_variants,ft_rag,lora_sft±RAG_LLM,3B|8B,mostly_20|15,mixed,generate_sparql_rag_*;generate_context_rag.py,float16,auto,RAG_LLM_temp=0.5,max_new_tokens=1024,prompt1|prompt2|deepseek|mixtral,no,yes,gpt-4o_step2,CODE_VERIFIED;RESULT_FILE_VERIFIED;PARTIAL
hf_best_15ep_claim,paper_best,Sherry791/...ft4sciqa,8B,15,n/a,same generate scripts if path given,float16_expected,auto,0.7,512,ORKG,no,no,yes_reported,README_REPORTED;EXTERNAL_ARTIFACT_REFERENCED
lora_hparams_lr_rank_alpha,FT_train,UNKNOWN,UNKNOWN,15_best_claimed,n/a,NOT_FOUND_trainer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,UNKNOWN;NOT_FOUND
