file_id,original_directory,original_path,original_url,status,HTTP status,size,serialization,component,required flag,checksum status,evidence
CORE_EN_001,2016-10/core-i18n/en,2016-10/core-i18n/en/article_categories_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/article_categories_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,236365092,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_002,2016-10/core-i18n/en,2016-10/core-i18n/en/category_labels_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/category_labels_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,17447841,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_003,2016-10/core-i18n/en,2016-10/core-i18n/en/disambiguations_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/disambiguations_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,13344953,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_004,2016-10/core-i18n/en,2016-10/core-i18n/en/external_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/external_links_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,167510717,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_005,2016-10/core-i18n/en,2016-10/core-i18n/en/freebase_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/freebase_links_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,85282055,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_006,2016-10/core-i18n/en,2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,17598860,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_007,2016-10/core-i18n/en,2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,17379613,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_008,2016-10/core-i18n/en,2016-10/core-i18n/en/geonames_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/geonames_links_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,4010348,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_009,2016-10/core-i18n/en,2016-10/core-i18n/en/homepages_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/homepages_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,12326604,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_010,2016-10/core-i18n/en,2016-10/core-i18n/en/images_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/images_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,94728001,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_011,2016-10/core-i18n/en,2016-10/core-i18n/en/infobox_properties_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_properties_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,492733142,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_012,2016-10/core-i18n/en,2016-10/core-i18n/en/infobox_property_definitions_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_property_definitions_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,788573,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_013,2016-10/core-i18n/en,2016-10/core-i18n/en/instance_types_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,42351931,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_014,2016-10/core-i18n/en,2016-10/core-i18n/en/instance_types_transitive_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_transitive_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,131023326,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_015,2016-10/core-i18n/en,2016-10/core-i18n/en/interlanguage_links_chapters_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/interlanguage_links_chapters_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,187246960,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
CORE_EN_016,2016-10/core-i18n/en,2016-10/core-i18n/en/labels_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/labels_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,200,190221571,turtle,core-resolved-from-checksums,true,HAS_MD5,core/_checksums.md5 + HEAD en
