variant_id,network_classes,evaluator_endpoint_from_adapter,paid_blocked,secret_policy,status
sparql_llm_schema_common_native,METHOD_INTERNAL_LLM_CALL,false,true,names_only,NETWORK_CONTRACT_DEFINED
sparql_llm_schema_common_internal_feedback,METHOD_INTERNAL_LLM_CALL;METHOD_INTERNAL_ENDPOINT_FEEDBACK,false,true,names_only,NETWORK_CONTRACT_DEFINED
sgpt_q,none_or_local,false,false,names_only,NETWORK_CONTRACT_DEFINED
sgpt_qk,none_or_local,false,false,names_only,NETWORK_CONTRACT_DEFINED
mkgqagent_q_only_agentic,METHOD_INTERNAL_LLM_CALL;METHOD_INTERNAL_LINKER_CALL;METHOD_INTERNAL_ENDPOINT_FEEDBACK,false,true,names_only,NETWORK_CONTRACT_DEFINED
rdfconfig_domain_native,METHOD_INTERNAL_LLM_CALL,false,true,names_only,NETWORK_CONTRACT_DEFINED
rdfconfig_schema_common_dbpedia,n_a,false,true,names_only,NETWORK_CONTRACT_DEFINED
cot_native_external_services,METHOD_INTERNAL_LLM_CALL;METHOD_INTERNAL_LINKER_CALL;METHOD_INTERNAL_ENDPOINT_FEEDBACK,false,true,names_only,NETWORK_CONTRACT_DEFINED
cot_common_frozen_grounding,METHOD_INTERNAL_LLM_CALL,false,true,names_only,NETWORK_CONTRACT_DEFINED
firesparql_raw_generation,UNKNOWN_pending_surface,false,true,names_only,NETWORK_CONTRACT_DEFINED
firesparql_cleaned_generation,METHOD_INTERNAL_LLM_CALL,false,true,names_only,NETWORK_CONTRACT_DEFINED
firesparql_rag,UNKNOWN_pending_surface,false,true,names_only,NETWORK_CONTRACT_DEFINED
