timestamp,representation_id,revision,event,actor_class,license_field,license_statement,source_url,payload_lineage,authority_evidence,evidence_class,scope,confidence,evidence_path,notes
pin,AskNowQA/LC-QuAD2.0,0a5f8f85b6f863c3b80f0fa02839e25d438af3ae,pin_recheck_T6C,AUTHORS_ORG,ABSENT,NONE,https://github.com/AskNowQA/LC-QuAD2.0,authors_repo,PRIMARY_AUTHOR_SOURCE,LICENSE_FILE_ABSENT,authors_repo,high,workdir/legal-metadata/lcquad2/20260722T112721Z/authors_tree_pin.json,AUTHORS_REPO_LICENSE_ABSENT_AT_PIN
2022-01-25T15:34:05.000Z,mohnish/lc_quad,df93623c0ad0588e4f05815f64f6c11f07872e14, Update files from the datasets library (from 1.0.0),PLATFORM_HF_DATASETS,EMPTY_OR_ABSENT,NONE,https://huggingface.co/datasets/mohnish/lc_quad/blob/df93623c0ad0588e4f05815f64f6c11f07872e14/README.md,see_builder_era,system,DATASET_CARD_FRONTMATTER,hf_card_only,low,workdir/legal-metadata/lcquad2/20260722T112721Z/hf_readme_df93623c0ad0.md,
2022-01-25T15:37:49.000Z,mohnish/lc_quad,8df2e5e1dd42afd7061e52d456bd547e8c65b6d6, Update files from the datasets library (from 1.3.0),PLATFORM_HF_DATASETS,EMPTY_OR_ABSENT,NONE,https://huggingface.co/datasets/mohnish/lc_quad/blob/8df2e5e1dd42afd7061e52d456bd547e8c65b6d6/README.md,see_builder_era,system,DATASET_CARD_FRONTMATTER,hf_card_only,high,workdir/legal-metadata/lcquad2/20260722T112721Z/hf_readme_8df2e5e1dd42.md,
2022-01-25T15:39:09.000Z,mohnish/lc_quad,0f3fcb416f96dd4a8dac21e2845c61aa36c502f2, Update files from the datasets library (from 1.4.0),PLATFORM_HF_DATASETS,EMPTY_OR_ABSENT,NONE,https://huggingface.co/datasets/mohnish/lc_quad/blob/0f3fcb416f96dd4a8dac21e2845c61aa36c502f2/README.md,see_builder_era,system,DATASET_CARD_FRONTMATTER,hf_card_only,high,workdir/legal-metadata/lcquad2/20260722T112721Z/hf_readme_0f3fcb416f96.md,
2022-01-25T15:40:56.000Z,mohnish/lc_quad,3685c884734ef5fb86227d92500857b6f3425e9d, Update files from the datasets library (from 1.6.0),PLATFORM_HF_DATASETS,EMPTY_OR_ABSENT,NONE,https://huggingface.co/datasets/mohnish/lc_quad/blob/3685c884734ef5fb86227d92500857b6f3425e9d/README.md,see_builder_era,system,DATASET_CARD_FRONTMATTER,hf_card_only,high,workdir/legal-metadata/lcquad2/20260722T112721Z/hf_readme_3685c884734e.md,
2022-01-25T15:43:57.000Z,mohnish/lc_quad,97318a9bed115e67198cf52488d76d1c9f0b3de8, Update files from the datasets library (from 1.7.0),PLATFORM_HF_DATASETS,EMPTY_OR_ABSENT,NONE,https://huggingface.co/datasets/mohnish/lc_quad/blob/97318a9bed115e67198cf52488d76d1c9f0b3de8/README.md,see_builder_era,system,DATASET_CARD_FRONTMATTER,hf_card_only,high,workdir/legal-metadata/lcquad2/20260722T112721Z/hf_readme_97318a9bed11.md,
2022-01-25T15:46:14.000Z,mohnish/lc_quad,28fa00a1c528701e464f297dc479ff806ef26cc9, Update files from the datasets library (from 1.8.0),PLATFORM_HF_DATASETS,EMPTY_OR_ABSENT,NONE,https://huggingface.co/datasets/mohnish/lc_quad/blob/28fa00a1c528701e464f297dc479ff806ef26cc9/README.md,see_builder_era,system,DATASET_CARD_FRONTMATTER,hf_card_only,high,workdir/legal-metadata/lcquad2/20260722T112721Z/hf_readme_28fa00a1c528.md,
2022-01-25T15:52:44.000Z,mohnish/lc_quad,8ba1fdaa3afb1425ce5bbba64b0daca8a1e9fea1, Update files from the datasets library (from 1.18.0),PLATFORM_HF_DATASETS,EMPTY_OR_ABSENT,NONE,https://huggingface.co/datasets/mohnish/lc_quad/blob/8ba1fdaa3afb1425ce5bbba64b0daca8a1e9fea1/README.md,see_builder_era,system,DATASET_CARD_FRONTMATTER,hf_card_only,high,workdir/legal-metadata/lcquad2/20260722T112721Z/hf_readme_8ba1fdaa3afb.md,
2022-05-04T18:34:29.000Z,mohnish/lc_quad,9974b97847b956b6066f1b3025f42296f2055c05, Remove a copy-paste sentence in dataset cards (#4281),PLATFORM_HF_DATASETS,EMPTY_OR_ABSENT,NONE,https://huggingface.co/datasets/mohnish/lc_quad/blob/9974b97847b956b6066f1b3025f42296f2055c05/README.md,see_builder_era,albertvillanova,DATASET_CARD_FRONTMATTER,hf_card_only,high,workdir/legal-metadata/lcquad2/20260722T112721Z/hf_readme_9974b97847b9.md,
2022-05-20T09:36:27.000Z,mohnish/lc_quad,4e2f761b779aee2883296e368c35fd710cb774a4, Remove config names as yaml keys (#4367),PLATFORM_HF_DATASETS,EMPTY_OR_ABSENT,NONE,https://huggingface.co/datasets/mohnish/lc_quad/blob/4e2f761b779aee2883296e368c35fd710cb774a4/README.md,see_builder_era,lhoestq,DATASET_CARD_FRONTMATTER,hf_card_only,high,workdir/legal-metadata/lcquad2/20260722T112721Z/hf_readme_4e2f761b779a.md,
